"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"016.8218","009504312","Monograph","Language material ; Text","Volume","GBA384588","","9781904733010","Goodacre, Selwyn H. (Selwyn Hugh)","1940-","person","","Goodacre, Selwyn H. (Selwyn Hugh), 1940- [person] ; Richards, Mark R. [person]","The translating of the Snark","","","","England","London","Aznet","2003","","10 pages, 20 cm","YC.2004.a.35","Carroll, Lewis, 1832-1898--Bibliography ; Carroll, Lewis, 1832-1898--Translations--Bibliography","Bibliography","English","",""
"016.8218","012257976","Monograph","Language material ; Text","Volume","GB7426904","","9780950372808","Goodacre, Selwyn H. (Selwyn Hugh)","1940-","person","","Goodacre, Selwyn H. (Selwyn Hugh), 1940- [person]","The listing of the Snark : a listing of editions and issues of Lewis Carroll's 'The hunting of the Snark' from its inspiration on July 18, 1874 to July 18, 1974","","","","England","Ashby Road, Woodville, Burton-on-Trent, Staffordshire ; Burton-on-Trent","","1974","","3, 10 pages, 22 cm","","Poetry in English--Carroll, Lewis--Hunting of the Snark--Editions--Bibliographies ; Carroll, Lewis, 1832-1898--Bibliography","Bibliography","English","Limited edition of 80 numbered and signed copies",""
"016.8238","008571555","Serial","Language material ; Text","Volume","GB9662289","","","","","","","Lewis Carroll Society [organisation]","Lewis Carroll review : the reviewing journal of the Lewis Carroll Society","Lewis Carroll review","","","England","Cromwell Road, Hertford, Hertfordshire SG13 7DP ; Hertford","Lewis Carroll Society","1996-","","volumes, 21 cm","ZC.9.a.4575","English fiction ; Carroll, Lewis, 1832-1898--Bibliography--Periodicals","Periodical","English","Description based on: Issue 2 (June 1996)",""
"016.828809","007396880","Monograph","Language material ; Text","Volume","GB8105166","","9780710800084","Guiliano, Edward","","person","","Guiliano, Edward [person]","Lewis Carroll : an annotated international bibliography 1960-77","","","","England","Brighton","Harvester","1981","","viii, 253 pages, 24 cm","X.950/6510","Carroll, Lewis, 1832-1898--Bibliography ; English literature--Carroll, Lewis--Bibliographies","","English","Includes index ; Originally published: Charlottesville : Published for the Bibliographic Society of the University of Virginia and the Lewis Carroll Society of North America by the University Press of Virginia, 1980",""
"016.828809","007402149","Monograph","Language material ; Text","Volume","GB9937837","","9780712346276 ; 9781884718878","Lovett, Charles C.","","person","","Lovett, Charles C. [person]","Lewis Carroll and the press : an annotated bibliography of Charles Dodgson's contributions to periodicals","","","","England","London ; New Castle, Delaware","British Library ; Oak Knoll","1999","","vi, 117 pages, illustrations, facsimiles, portraits, 24 cm","YC.1999.b.3542","Carroll, Lewis, 1832-1898--Bibliography","Bibliography","English","",""
"016.828809","007405678","Monograph","Language material ; Text","Volume","GB7919806","","9780712909068","Williams, Sidney Herbert","","person","","Crutch, Denis [person] ; Williams, Sidney Herbert [person] ; Green, Roger Lancelyn [person]","The Lewis Carroll handbook","","","","England","Folkestone","Dawson","1979","Revised edition, revised and augmented by Roger Lancelyn Green, now further revised by Denis Crutch","xix, 340 pages, 2 leaves of plates, 10 pages of plates, illustrations, facsimiles, 1 portrait, 23 cm","79/32587 ; X.981/21933","Carroll, Lewis, 1832-1898--Bibliography ; English literature--Carroll, Lewis--Bibliographies","","English","Includes index ; Previous edition: London : Dawsons, 1970. - 'Being a new version of 'A handbook of the literature of the revised C.L. Dodgson''",""
"016.828809","007418113","Monograph","Language material ; Text","Volume","","","9780816189250","Fordyce, Rachel","","person","","Fordyce, Rachel [person]","Lewis Carroll : a reference guide","","A Reference guide to literature","","United States of America","Boston, Massachusetts","G.K. Hall","1988","","xxxiv, 160 pages, 25 cm","2725.e.1818 ; 90/08825","Carroll, Lewis, 1832-1898--Bibliography","","English","Includes index",""
"016.828809","011593205","Monograph","Language material ; Text","Volume","GB7010386","","9780712904278","Williams, Sidney Herbert","","person","","Madan, Falconer, 1851-1935 [person] ; Williams, Sidney Herbert [person] ; Green, Roger Lancelyn [person]","The Lewis Carroll handbook : being a new version of 'A handbook of the literature of the Rev. C. L. Dodgson'","A handbook of the literature of the Rev. C. L. Dodgson","","","England","London","Dawsons","1970","Revised reprinted, now revised, augmented, and brought up to 1970 by Roger Lancelyn Green","xvi, 307 pages, 15 plates, illustrations, facsimiles, portraits, 23 cm","X.989/5616","Carroll, Lewis, 1832-1898--Bibliography","Bibliography","English","revised reprinted of revised edition: London: Oxford U.P, 1962",""
"016.828809","012667197","Monograph","Language material ; Text","Volume","","","9780813908625","Guiliano, Edward","","person","","University of Virginia, Bibliographical Society [organisation] ; Lewis Carroll Society of North America [organisation] ; Guiliano, Edward [person]","Lewis Carroll : an annotated international bibliography 1960-77","","","","United States of America","Charlottesville","Lewis Carroll Society of North America ; University Press ; Virginia for Bibliographical Society of the University of Virginia","1980","","viii, 253 pages, 24 cm","X.950/6500","Carroll, Lewis, 1832-1898--Bibliography ; English literature--Carroll, Lewis--Bibliographies","","English","",""
"016.828809","014537816","Monograph","Language material ; Text","Volume","GBA825988","","9780712350068 ; 9781584562122","","","","","Sewell, Byron W. [person] ; Imholtz, Clare [person]","An annotated international bibliography of Lewis Carroll's Sylvie and Bruno books","","","","England","London ; New Castle, Delaware","British Library ; Oak Knoll","2008","","l, 241 pages, 6 pages of plates, illustrations, 27 cm","YK.2009.b.6091 ; m09/.17816","Carroll, Lewis, 1832-1898--Biography","Biography","English","",""
"018.2","005661521","Monographic component part","Language material ; Text","Volume","","","9780930326050","","","","","Stern, Jeffrey [person]","Lewis Carroll's library : a facsimile edition of the catalogue of the auction sale following C.L. Dodgson's death in 1898, with facsimiles of three subsequent bookseller's catalogues offering books from Dodgson's library","","","","United States of America","Charlottesville, Virginia ; Silver Spring, Maryland","Lewis Carroll Society of North America ; University Press ; Virginia","1981","","","3055.475000","Private libraries--England--Catalogs ; Carroll, Lewis, 1832-1898--Library--Catalogs ; Carroll, Lewis, 1832-1898--Books and reading","","English","",""
"018.2","008126130","Monograph","Language material ; Text","Volume","","","9780930326050","","","","","Stern, Jeffrey [person]","Lewis Carroll's library : a facsimile edition of the catalogue of the auction sale following C.L. Dodgson's death in 1898, with facsimiles of three subsequent booksellers' catalogues offering books from Dodgson's library","","Carroll studies","number 5 [Carroll studies]","United States of America","Silver Spring, Maryland","Lewis Carroll Society of North America","1981","","xiv, 95 pages, 25 cm","2719.e.540","Private libraries--England--Catalogs ; Carroll, Lewis, 1832-1898--Library--Catalogs ; Fiction in English--Carroll, Lewis--1832-1898--Catalogues ; Carroll, Lewis, 1832-1898--Books and reading","","English","",""
"100","016648976","Monograph","Language material ; Text","Volume","GBB428070","","9780226105758","Scharfstein, Ben-Ami","1919-","person","author","Scharfstein, Ben-Ami, 1919-, author [person]","The nonsense of Kant and Lewis Carroll : unexpected essays on philosophy, art, life, and death","","","","United States of America","Chicago","University of Chicago Press","2014","","242 pages, illustrations, 24 cm","YC.2014.a.8447 ; m14/.11274","Machiavellianism (Psychology) ; Carroll, Lewis, 1832-1898 ; Art, Comparative ; Philosophy, Comparative ; Kant, Immanuel, 1724-1804","","English","",""
"121","014693227","Monograph","Language material ; Text","Volume","","","9788889130247 ; 9788889130292","Sini, Carlo","1933-","person","","Sini, Carlo, 1933- [person]","Il segreto di Alice e altri saggi","Segreto di Alice","Pragmata : l'economia deel vero","4 [Pragmata : l'economia deel vero]","Italy","Milano","Albo versorio","2006","","146 pages, 21 cm","YF.2009.a.9084","Carroll, Lewis, 1832-1898 ; Philosophy","","Italian","Collected writings, mostly already published in the periodicals Paradosso and Oltrecorrente",""
"160.924","010539186","Monograph","Language material ; Text","Volume","GB7815345","","","Wakeling, Edward","","person","","Wakeling, Edward [person]","The logic of Lewis Carroll : a study of Lewis Carroll's contribution to logic : his logical discoveries and his endeavours to teach the subject to children","","","","England","Bradgers Hill Road, Luton, Bedfordshire LU2 7EL ; Luton","","1978","","2, 41 pages, illustrations, portraits, 21 cm","D78/15952 ; X.519/35099","Logic--Theories of Carroll, Lewis ; Carroll, Lewis, 1832-1898--Contributions in logic","","English","'Based on an address to the Lewis Carroll Society, London on Friday 15th April, 1977'. - Limited edition of 300 copies signed and numbered by the author ; bibliography: p.38. _ Includes index",""
"203.50942574","015419008","Monograph","Language material ; Text","Volume","GBB113796","","9781874317067","Hughes, J. Trevor (John Trevor)","","person","","Hughes, J. Trevor (John Trevor) [person]","St Margaret's Well at Binsey near Oxford : the treacle well of Alice in Wonderland","Pharmaceutical historian","","","England","Oxford","Rimes House","2009","","12 pages, illustrations, 21 cm","YK.2011.a.5908","Saint Margaret's Well (Binsey, England) ; Carroll, Lewis, 1832-1898","","English","'Offprinted from: Pharmaceutical historian, volume 34, number 4, 2004, pages 54-58.' ; Title from cover",""
"294.3927","015362280","Monograph","Language material ; Text","Volume","GBA987331","","9781888375954","Silberberg, Daniel Doen","1947-","person","","Silberberg, Daniel Doen, 1947- [person] ; Carroll, Lewis, 1832-1898 [person]","Wonderland : the Zen of Alice","Alice's adventures in Wonderland","","","England ; United States of America","Berkeley, California ; Enfield","Parallax","2009","","xiv, 103 pages, 21 cm","YK.2010.a.8616","Zen Buddhism ; Alice, (Fictitious character from Carroll)","","English","",""
"328.3347","011994863","Monograph","Language material ; Text","Volume","GB9636176","","9780792396208","Black, Duncan","","person","","McMillan, Alistair [person] ; Dodgson, Charles Lutwidge, 1832-1898 [person] ; Monroe, Burt L. [person] ; Black, Duncan [person] ; McLean, Iain [person]","A mathematical approach to proportional representation : Duncan Black on Lewis Carroll","Principles of parliamentary representation","","","England","Boston ; London","Kluwer","1996","","xxxviii, 189 pages, illustrations, 24 cm","97/26870 ; YC.1996.b.3934","Proportional representation ; Dodgson, Charles Lutwidge, 1832-1898--Political and social views ; Social choice","","English","",""
"372.60440941","018407524","Monograph","Language material ; Text","Volume","GBB7B3047","","9781407176161","Burt, Sarah Ellen","","person","author","Burt, Sarah Ellen, author [person] ; Ridgard, Debbie, author [person]","Alice in Wonderland","","Read & respond","","England","London","Scholastic","2017","","1 volume, 30 cm","","Carroll, Lewis, 1832-1898 ; Literacy--Study and teaching (Elementary)--Great Britain","","English","",""
"378.42574","010541285","Monograph","Language material ; Text","Volume","GB7834492","","","Dodgson, Charles Lutwidge","1832-1898","person","","Lewis Carroll Society [organisation] ; Dodgson, Charles Lutwidge, 1832-1898 [person]","Some Oxford scandals : seven 'letters to the editor'","Correspondence. Selections","","","England","Ardbeg Road, S E 24 ; London","Lewis Carroll Society","1978","","18 pages, 21 cm","X.908/41949","Authors, English--19th century--Correspondence ; University of Oxford--History--Sources ; Oxfordshire--Universities--University of Oxford--1874-1890--Biographies ; Dodgson, Charles Lutwidge, 1832-1898--Correspondence","","English","Limited edition of 200 copies",""
"378.4257409","010541285","Monograph","Language material ; Text","Volume","GB7834492","","","Dodgson, Charles Lutwidge","1832-1898","person","","Lewis Carroll Society [organisation] ; Dodgson, Charles Lutwidge, 1832-1898 [person]","Some Oxford scandals : seven 'letters to the editor'","Correspondence. Selections","","","England","Ardbeg Road, S E 24 ; London","Lewis Carroll Society","1978","","18 pages, 21 cm","X.908/41949","Authors, English--19th century--Correspondence ; University of Oxford--History--Sources ; Oxfordshire--Universities--University of Oxford--1874-1890--Biographies ; Dodgson, Charles Lutwidge, 1832-1898--Correspondence","","English","Limited edition of 200 copies",""
"395","018001081","Monograph","Language material ; Text","Volume","GBB6C4635","","9781782273219","","","","","Day, Charles William [person] ; Carroll, Lewis, 1832-1898 [person]","Hints on etiquette : a shield against the vulgar","Hints for etiquette; or, dining out made easy ; Hints on etiquette and the usages of society","Found on the shelves ; The London library","","England","London","Pushkin","2016","","92 pages, black and white illustrations, 18 cm","YKL.2018.a.6299","Etiquette","","English","",""
"421.1","018132620","Monograph","Language material ; Still image ; Text","Volume","GBB6J8812","","9781509820542","","","","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","A is for Alice : an alphabet book","Works","","","England","London","Macmillan","2017","","1 volume (unpaged), chiefly colour illustrations, 19 x 19 cm","CLE.2017.a.189","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature ; Board books","Children's literature ; Pictorial work","English","Board book",""
"428.13","018217730","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB720801","","9781509859290","","","","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","A is for Alice : an alphabet book","Works","The Macmillan Alice","","England","London","Macmillan","2017","","1 online resource, chiefly colour illustrations","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature","Children's literature ; Pictorial work","English","Additional physical form: Print version. 9781509820542 ; Based on the story by Lewis Carroll",""
"428.13","019469619","Monograph","Language material ; Still image ; Text","Volume","GBB9C4507","","9780953443864","Johnson, Michael","1965-","person","author","Carroll, Lewis, 1832-1898 [person] ; Johnson, Michael, 1965-, author [person] ; Tenniel, John, 1820-1914, artist [person]","Alice's alphabet book : a Wonderland A to Z","","","","England","Chipping Norton","Oxgarth Press","2019","","1 volume (unpaged), colour illustrations, 20 cm","YKL.2021.a.809","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature","Children's literature ; Pictorial work","English","",""
"428.6","007060401","Monograph","Language material ; Text","Volume","GB8225578","","9780195813081","Richards, Jack C.","1943-","person","author","Richards, Jack C., 1943-, author [person] ; Blomfield, Kathryn, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures through the looking glass","Through the looking-glass","Oxford progressive English readers. Grade 2","","England ; Hong Kong","Oxford","Oxford University Press","1981","","69 pages, colour illustrations, 22 cm","","Readers--1950- ; English language--Readers--For schools","","English","",""
"428.6","007736282","Monograph","Language material ; Text","Volume","GB8234208","","9780333315958","Tyler, Deborah","","person","author","Tyler, Deborah, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Ranger. Range 3, Fiction","","England","London","Macmillan","1982","","46 pages, illustrations (some colour), 21 cm","","Readers--1950- ; English language--Readers--For schools","","English","",""
"428.6","007736336","Monograph","Language material ; Text","Volume","GB8235911","","9780333328354","Tyler, Deborah","","person","author","Tyler, Deborah, author [person] ; Carroll, Lewis, 1832-1898 [person]","Through the looking-glass : and what Alice found there","Through the looking-glass","Ranger. Range 3, fiction","","England","London","Macmillan","1982","","44 pages, illustrations (some colour), 21 cm","","Readers--1950- ; English language--Readers--For schools","","English","",""
"428.6","010700120","Monograph","Language material ; Text","Volume","GBA139255","","9780582421233","Tomalin, Mary","","person","author","Carroll, Lewis, 1832-1898 [person] ; Tomalin, Mary, author [person]","Alice in Wonderland","Alice's adventures in Wonderland","Penguin readers. Level 2","","England","Harlow","Pearson","2000","","volumes, 40 pages, colour illustrations, 20 cm","YK.2001.a.9491","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy ; Reader","English","",""
"428.6","010701447","Monograph","Language material ; Text","Volume","GB8749685","","9780582522787","Swan, D. K.","","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Swan, D. K., author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","Longman classics. Stage 1","","England","Harlow","Longman","1987","","56 pages, colour illustrations, 20 cm","YK.1987.a.6637","Readers--1950- ; English language--Texts","","English","",""
"428.6","010701551","Monograph","Language material ; Text","Volume","GB7627550","","9780582534148","Swan, D. K.","","person","author","Swan, D. K., author [person] ; Carroll, Lewis, 1832-1898 [person] ; Tarrant, Carol, illustrator [person]","Alice in Wonderland","Alice's adventures in Wonderland","New method supplementary readers. stage 1","","England","London","Longman","1976","","4, 60 pages, illustrations, 19 cm","WP.8655/24 (11)","Readers--1950- ; English language--Texts","","English","",""
"428.6","011000376","Monograph","Language material ; Text","Volume","GB8200122","","9780582534148","Swan, D. K.","","person","author","Swan, D. K., author [person] ; Carroll, Lewis, 1832-1898 [person] ; Tarrant, Carol, illustrator [person]","Alice in Wonderland","Alice's adventures in Wonderland","NMSR. Stage 1","","England","London","Longman","1978","","60 pages, illustrations, 19 cm","WP.8655/24 (18)","Readers--1950- ; English language--Readers--For schools","","English","",""
"428.6","011557048","Monograph","Language material ; Text","Volume","GB6009270","","","Carroll, Lewis","1832-1898","person","author ; illustrator","Thomas, G., editor [person] ; Carroll, Lewis, 1832-1898, author ; illustrator [person] ; Thomas, M. W., editor [person] ; Hall, Douglas, illustrator [person]","Alice's adventures in Wonderland","","Junior classics","","England","London","Hutchinson","1960","","94 pages, illustrations, 19 cm","12841.l.7/1","","","English","",""
"428.6","011944107","Monograph","Language material ; Text","Volume","GB9438035","","9780194227230","Bassett, Jennifer","","person","author","Mistry, Nilesh, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Bassett, Jennifer, author [person]","Alice's adventures in Wonderland","","Oxford bookworms. Green series Stage 2","","England","Oxford","Oxford University Press","1994","","44 pages, illustrations, 20 cm","YK.1994.a.11563","English language--Reading books","","English","",""
"428.6","011944123","Monograph","Language material ; Text","Volume","GB9542847","","9780194227490","Bassett, Jennifer","","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Bassett, Jennifer, author [person]","Through the looking-glass","","","","England","Oxford","Oxford University Press","1995","","60 pages","H.95/3200","English language--Reading books","","English","",""
"428.6","011944193","Monograph","Language material ; Text","Volume","GBA036910","","9780194229647","Bassett, Jennifer","","person","author","Mistry, Nilesh, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Bassett, Jennifer, author [person]","Alice's adventures in Wonderland","","Oxford bookworms. Stage 2. Classics","","England","Oxford","Oxford University Press","2000","2nd edition","56 pages, illustrations, 20 cm","YK.2000.a.6912","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","Previous edition: 1994",""
"428.6","012596111","Monograph","Language material ; Text","Volume","GB9422544","","9780195852745","","","","","Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Oxford progressive English readers. Grade 1","","England ; Hong Kong","Oxford","Oxford University Press","1992","","57 pages, colour illustrations, 21 cm","YK.1994.a.8811","English language--Reading books","","English","Text on inside rear covers",""
"428.6","014533895","Monograph","Language material ; Text","Volume","GBB210697","","9780194791342","Bassett, Jennifer","","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Bassett, Jennifer, author [person]","Through the looking-glass : and what Alice found there","Through the looking-glass","Oxford bookworms library. Classics, Stage 3","","England","Oxford","Oxford University Press","2008","New edition","72 pages, illustrations, 20 cm","YK.2012.a.3359","Readers (Elementary)","","English","Originally published: 2000",""
"428.6","014533897","Monograph","Language material ; Text","Volume","GBB207839","","9780194789745 ; 9780194790512","Bassett, Jennifer","","person","author","Mistry, Nilesh, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Bassett, Jennifer, author [person]","Alice's adventures in Wonderland","","Oxford bookworms library. Classics. Stage 2","","England","Oxford","Oxford University Press","2008","2nd edition","56 pages, illustrations, 20 cm","YK.2012.a.3010","Readers (Elementary)","","English","Originally published: 2000",""
"428.6","016707877","Monograph","Language material ; Text","Volume","GBB447087","","9780723288022","Bird, Nicola","","person","author","Carroll, Lewis, 1832-1898 [person] ; Bird, Nicola, author [person]","Alice in Wonderland","","Read it yourself with Ladybird. Level 4","","England","London","Ladybird","2014","","1 volume, 17 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Reader","English","",""
"428.6","018057616","Monograph","Language material ; Still image ; Text","Volume","GBB6E0918","","9780198367710","Heddle, Rebecca","","person","author","Carroll, Lewis, 1832-1898 [person] ; Heddle, Rebecca, author [person] ; Pagliaro, Alberto, 1972-, artist [person]","Alice's adventures in Wonderland","","Project X. Origins","","England","Oxford","Oxford University Press","2016","","40 pages, chiefly colour illustrations, 26 cm","YKL.2020.b.4577","Alice, (Fictitious character from Carroll)--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel ; Reader","English","Dark red book Band, Oxford level 18",""
"428.64","007684220","Monograph","Language material ; Text","Volume","GB7521463","","9780195807134","Croft, Richard","","person","author","Croft, Richard, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Owen, Carol, illustrator [person]","Alice's adventures in Wonderland","","Oxford progressive English readers. grade 1","","England ; Hong Kong","London","Oxford University Press","1975","","6, 72 pages, colour illustrations, 22 cm","","Readers--1950- ; English language--Text-books for foreign speakers ; English language--Readers--For non-English speaking students","","English","",""
"428.64","010056150","Monograph","Language material ; Text","Volume","GB8728233","","9780333433430","Green, Margery","","person","author","Green, Margery, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Stories to remember. Senior series","","England","London","Macmillan","1986","","90 pages, 19 cm","YK.1987.a.2892","Readers--1950- ; English language--Text-books for foreign speakers ; English language--For non-English speaking students--Texts","","English","",""
"428.64","011944240","Monograph","Language material ; Text","Volume","GBA224303","","9780194230193","Bassett, Jennifer","","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Bassett, Jennifer, author [person]","Through the looking-glass : and what Alice found there","Through the looking-glass","Oxford bookworms library. Classics. Stage 3","","England","Oxford","Oxford University Press","2000","2nd edition","72 pages, illustrations, 20 cm","YK.2002.a.6435","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy ; Reader","English","Previous edition: 1995",""
"428.64","012596105","Monograph","Language material ; Text","Volume","GB9422647","","9780195852684","","","","","Carroll, Lewis, 1832-1898 [person]","Through the looking glass","Through the looking-glass","Oxford progressive english readers. Grade 2","","England ; Hong Kong","Oxford","Oxford University Press","1992","","73 pages, illustrations, 21 cm","H.94/1039","English language--Reading books","","English","",""
"428.64","013945153","Monograph","Language material ; Still image ; Text","Volume","GBB525423","","9780195462388","","","","","Chan, K. Y., illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Through the looking glass","Through the looking-glass","Oxford progressive English readers. Level 2","","England","Oxford","Oxford University Press","2007","Second edition","vii, 76 pages, colour illustrations, 20 cm","YK.2013.a.1007","","Reader","English","Previous edition: 1992",""
"428.64","019495424","Monograph","Language material ; Still image ; Text","Volume","GBB9D4613","","9781474958028","Mackinnon, Mairi","","person","author","Mackinnon, Mairi, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","Usborne English readers. Level 2","","England","London","Usborne","2019","","1 volume, colour illustrations, 24 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Reader","English","",""
"510","008126132","Monograph","Language material ; Text","Volume","GB9567679","","9780930326098","Dodgson, Charles Lutwidge","1832-1898","person","","Lewis Carroll Society of North America [organisation] ; Abeles, Francine F. [person] ; Dodgson, Charles Lutwidge, 1832-1898 [person]","The mathematical pamphlets of Charles Lutwidge Dodgson and related pieces","","The pamphlets of Lewis Carroll","volume 2 [The pamphlets of Lewis Carroll]","England ; United States of America","London ; New York","Lewis Carroll Society of North America","1994","","xvi, 420 pages, illustrations, facsimiles, portraits, 24 cm","96/10174 ; YA.1995.b.7980","Mathematics","","English","bibliography: p405-411. - Includes index",""
"510","014596851","Monograph","Language material ; Text","Volume","GBA860108","","9780713997576","Wilson, Robin J.","","person","","Wilson, Robin J. [person]","Lewis Carroll in numberland : his fantastical mathematical logical life ; an agony in eight fits","","","","England","London","Allen Lane","2008","","xi, 237 pages, illustrations, charts, 23 cm","YC.2009.a.11831","Carroll, Lewis, 1832-1898--Knowledge--Mathematics ; Mathematicians--Great Britain--Biography","Biography","English","",""
"510","014624775","Monograph","Language material ; Text","Volume","GBA872340","","9780883855669","","","","","Dieudonné, Jean, 1906-1992 [person] ; Synge, J. L. (John Lighton), 1897-1995 [person] ; Hemenway, David, 1945- [person] ; Smith, James, 1805-1872 [person] ; Alexanderson, Gerald L. [person] ; Dudley, Underwood [person] ; Kline, Morris, 1908-1992 [person] ; Hallerberg, Arthur E. (Arthur Edward), 1918-1978 [person] ; Klosinski, Leonard F. [person] ; Sholander, Marlow [person] ; Trudeau, Richard J. [person] ; Smith, Steven Bradley [person] ; Gillings, Richard J. [person] ; Halmos, Paul R. (Paul Richard), 1916-2006 [person] ; Rothstein, Edward, 1952- [person] ; Smith, David Eugene, 1860-1944 [person] ; Carroll, Lewis, 1832-1898 [person] ; Aubry, John [person] ; Linderholm, Carl E. [person] ; McCabe, Robert L. [person] ; Cardano, Girolamo, 1501-1576 [person] ; Guy, Richard K. [person] ; Gallian, Joseph A. [person] ; Ying, Wong Ngai [person] ; Altshiller-Court, Nathan, 1881-1968 [person] ; Cohen, Patricia Cline [person]","Is mathematics inevitable?","Assigning driver's license numbers ; Brief lives ; Calculating people ; De propria vita ; Emblems of mind ; George Boole and the calculus of finite differences ; Great mental calculators ; I want to be a mathematician ; Indiana's squared circle ; Mathematics and mathematicians ; Mathematics and the physical world ; Mathematics in fun and in earnest ; Mathematics made difficult ; On the origin of certain typical problems ; On the set of legs of a horse ; On the value of mathematics (books) ; Problem with postulate 5 ; Quadratic equations ; Quadrature of the circle ; So-called Euler-Diderot incident ; Strong law of small numbers ; Tangled tale ; Theodorus' irrationality proofs ; There are three times as many obtuse-angled triangles as there are acute-angled ones ; Why is a restaurant's business worse in the owner's eyes than in the customers'? ; Why your classes are larger than 'average'","Spectrum","","United States of America","Cambridge ; Washington, District of Columbia","Cambridge University Press ; Mathematical Association of America","2008","","x, 325 pages, illustrations, 24 cm","YK.2010.a.1281 ; m08/.22488","Mathematics--Miscellanea ; Mathematics--Humor","Humour or satire","English","",""
"510","015174629","Monograph","Language material ; Text","Volume","GBA944250","","9780141016108","Wilson, Robin J.","","person","","Wilson, Robin J. [person]","Lewis Carroll in Numberland : his fantastical mathematical logical life","","","","England","London","Penguin","2009","","xi, 237 pages, illustrations, 20 cm","","Carroll, Lewis, 1832-1898--Knowledge--Mathematics","","English","Originally published: 2008",""
"511.3","009457543","Monograph","Language material ; Text","Volume","GB7829511","","9780855279745 ; 9780855279844","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Bartley, William Warren, 1934-1990 [person]","Lewis Carroll's 'Symbolic logic' : Part I, elementary, 1896, fifth edition ; Part II, advanced, never previously published ; together with letters from Lewis Carroll to eminent nineteenth-century logicians and to his 'logical sister', and eight versions of the 'Barber-shop paradox'","Symbolic logic","","","England","Hassocks","Harvester","1977","","xxvii, 498 pages, illustrations, facsimiles, portraits, 24 cm","78/32765 ; X.520/13085","Logic, Symbolic and mathematical ; Mathematical logic","","English","Also published: New York : C.N. Potter, 1977 ; bibliography: p.39-42. _ Includes index",""
"511.3","009613553","Monograph","Language material ; Text","Volume","","","9780517523834","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Bartley, William Warren, 1934-1990 [person]","Lewis Carroll's Symbolic logic : part I, Elementary, 1896, fifth edition, part II, Advanced, never previously published : together with letters from Lewis Carroll to eminent nineteenth-century logicians and to his 'logical sister,' and eight versions of the Barber-shop paradox","Symbolic logic","","","United States of America","New York","C. N. Potter ; Crown","1977","","xxv, 496 pages, illustrations, 24 cm","77/25512","Logic, Symbolic and mathematical","","English","",""
