"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'Alice' contado aos mais pequenos","Nursery 'Alice'. Portuguese","017471733","Monograph","Language material ; Still image ; Text","Volume","GBB5A5335","","9781782011187","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Puga, Rogério Miguel, translator [person] ; Thomson, E. Gertrude (Emily Gertrude), illustrator [person]","","","Ireland","Portlaoise County Laois","Evertype","2015","","xxix, 71 pages, colour illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)","Children's fiction","Portuguese","Translated from the English",""
"'Alice' on the stage","Alice's adventures in Wonderland : and, Through the looking-glass and what Alice found there ; Alice's adventures under ground ; Novels. Selections ; Through the looking glass, and what Alice found there ; Through the looking-glass","018530771","Monograph","Language material ; Text","Online resource","GBB7I3847","","9780141956732 ; 9781101487228","Carroll, Lewis","1832-1898","person","","Haughton, Hugh, 1948- [person] ; Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","Penguin classics","","England ; United States of America","London ; New York","Penguin","1998","","1 online resource (lxxx, 356 pages), illustrations","823.8","ELD.DS.197483","FICTION / Fantasy / General ; Fantasy fiction, English ; Alice (Fictitious character : Carroll)--Fiction ; Alice, (Fictitious character from Carroll)","Fiction","English","'Includes the manuscript version of Alice's adventures under ground and Caroll's 1887 essay ''Alice' on the stage''--Page 4 of cover ; 1st work reprinted of the 1898 edition; 2nd work reprinted of 1872 edition ; The 3rd work is the manuscript version, the 4th work is the author's 1887 essay",""
"'Cello acrostic","","015576761","Monograph","Notated music","Volume","","","9781423483526","Del Tredici, David","","person","","Kluksdahl, Scott [person] ; Carroll, Lewis, 1832-1898 [person] ; Del Tredici, David [person]","","","United States of America","Milwaukee, Wisconsin ; New York","Boosey & Hawkes ; Hal Leonard","2009","","4 pages of music, 31 cm","787.4","H06/.12042","Cello music","","","'Final Alice' is the fifth of six large works for soprano and orchestra based on Lewis Carroll's 'Alice in Wonderland' books; 'Cello Acrostic' is an arr. of 'Acrostic Song', the lullaby-like concluding aria from 'Final Alice' ; Duration: approximately 6:00 ; Program note in English",""
"'Endowment of the Greek Professorship.' [A paper, dated 22 November 1861, variously attributed to Charles L. Dodgson and Octavius Ogle.]","Appendix","002740146","Monograph","Language material ; Text","Volume","","","","University of Oxford","","organisation","","Dodgson, Charles Lutwidge, 1832-1898 [person] ; Ogle, Octavius [person] ; University of Oxford [organisation]","","","","Oxford","","1940","","","","8365.g.23","","","English","A photostatic reproduction",""
"'I am no sportsman' : the sporting worlds of Lewis Carroll and Charles Dodgson","","018790430","Monograph","Language material ; Text","Volume","GBB8L1066","","","Bale, John","","person","author","Bale, John, author [person]","","","England ; United Kingdom","","John Richard Bale","2017","","334 pages, black and white illustrations, 21 cm","823.8","YKL.2018.a.21888","Carroll, Lewis, 1832-1898 ; Sports in literature ; Sports--Great Britain--History","","English","",""
"'Lewis Carroll Diaries'","","032-001611719","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000035.0x000187","","Dodgson, Charles Lutwidge, alias 'Lewis Carroll', author and mathematician","1832-1898","person","creator","Dodgson family 19th century [former owner] ; Dodgson, Charles Lutwidge, alias 'Lewis Carroll', author and mathematician, 1832-1898 [creator]","","","","","","1855-1897","","9 volumes ; The nine volumes vary slightly in size and are approximately 183mm x 115mm. The volumes have green or brown board bindings and cloth spines","","Western Manuscripts. Add MS 54340-54348","","","English","Autograph diaries of the Rev. Charles Lutwidge Dodgson ('Lewis Carroll'), written in ink and pencil. The diaries are part of a series of thirteen, of which nos. 1, 3, 6 and 7 are missing. Each volume is numbered on the front cover. The volumes were foliated by the author","After Dodgson's death in 1898 the diaries remained the property of the Dodgson family ; Purchased from Beachcroft & Co. solicitors for the Dodgson family, 15th June 1968"
"'O tāfoga a 'Ālise i le Nu'o o Mea Ofoofogia","Alice's adventures in Wonderland. Samoan","016335451","Monograph","Language material ; Still image ; Text","Volume","GBB346199","","9781782010234","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Simanu-Klutz, Luafata, translator [person]","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","xiv, 132 pages, black and white illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English ; Samoan","",""
"'Tantalizing Alice' : approaches, concepts and case-studies in adaptations of a classic","","018012357","Monograph","Language material ; Text","Volume","","","9783868216660","","","","","Butt, Nadia, 1977-, editor [person] ; Helff, Sissy, editor [person]","ELCH, Studies in English Literary and Cultural History= ELK, Studien zur Englischen Literatur- und Kulturwissenschaft","Band 67 [ELCH, Studies in English Literary and Cultural History= ELK, Studien zur Englischen Literatur- und Kulturwissenschaft]","Germany","Trier","Wissenschaftlicher Verlag Trier","2016","","210 pages, illustrations (black and white and colour), 23 cm","","ZA.9.a.12020 (67)","Fantasy fiction, English--Adaptations--History and criticism ; Carroll, Lewis, 1832-1898 ; Children's stories, English--Adaptations--History and criticism ; Carroll, Lewis, 1832-1898--Adaptations--History and criticism ; Alice, (Fictitious character from Carroll)","","English","",""
"'Twinkle, twinkle, little bat' : poems and songs from Alice's adventures in Wonderland and Through the looking-glass","","010679138","Monograph","Language material ; Text","Volume","GB98X2593","","9780333733424","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","1998","","77 pages, colour illustrations, 15 cm","821.8","YK.1999.a.6876","Children's poetry, English--19th century","","English","",""
"(u04D8) лисШУ04д9Щн�������� �������ажайып елдег� басынан кешкендер�","Alice's adventures in Wonderland in Kazakh ; Alice's adventures in Wonderland. Kazakh ; Älïsäniñ ğajayıp eldegi basınan keşkenderibasynan keshkenderī ; Ălisănīn͡g ghazhaĭyp eldegī basynan keşkenderi basynan keshkenderī","018084092","Monograph","Language material ; Still image ; Text","Volume","GBB6E8046","","9781782011750","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Moldashova, Fatima, translator [person]","","","Ireland","Portlaoise","Evertype","2016","","viii, 120 pages, black and white illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Kazakh","Translated from the English",""
"365 [minus] 1 [equals] 364, or, Chapter VI, Humpty Dumpty, from Through the looking glass","Through the looking-glass. Selections","011277190","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","","","England","London","Ornament","1971","","20 pages, illustrations, portraits","","Cup.512.b.26","","","English","",""
"4 nonsense songs","Four nonsense songs ; Nonsense songs","016326965","Monograph","Notated music","Volume","","","","Short, Michael","1937-","person","composer","Lear, Edward, 1812-1888 [person] ; Carroll, Lewis, 1832-1898 [person] ; Short, Michael, 1937-, composer [person] ; Short, Elaine, illustrator [person]","","","England","St Leonards-on-Sea","Crouch Music","2013","","1 score (32 pages), illustrations, 30 cm","783.242","G.242.bb. (14.)","Songs (High voice) with piano ; Lear, Edward, 1812-1888--Musical settings ; Carroll, Lewis, 1832-1898--Musical settings ; Songs (Low voice) with piano","","English","Cover title ; Includes preface by the composer ; Songs with piano accompaniment ; illustrations by Elaine Short",""
"60-second songs. Book 1","Lamb ; Little crocodile ; Sea shell ; Sixty-second songs. Book 1 ; Songs","018424600","Monograph","Notated music","Volume","","","","","","","","Blake, William, 1757-1827 [person] ; Maxim, Christopher [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Rusbridge, Barbara [person] ; Lowell, Amy, 1874-1925 [person] ; Carroll, Lewis, 1832-1898 [person] ; Shakespeare, William, 1564-1616 [person] ; Ritchie, Paul, 1954- [person] ; Field, Christopher, schoolmaster [person] ; Poole, Sarah, editor [person] ; Clevely, Sarah [person]","","","England","Templecombe, Somerset","Recital Music","2015","","1 score (18 pages), 30 cm","783.242","","Blake, William, 1757-1827--Musical settings ; Carroll, Lewis, 1832-1898--Musical settings ; Lowell, Amy, 1874-1925--Musical settings ; Songs with piano ; Stevenson, Robert Louis, 1850-1894--Musical settings ; Shakespeare, William, 1564-1616--Musical settings","Song","English","'Eight short, enjoyable and fun songs for the young singer' ; Editor's note and biography on back cover ; For voice and piano",""
"A Bibliography of the Writings of Lewis Carroll (Charles Lutwidge Dodgson, M.A.)","","003936421","Monograph","Language material ; Text","Volume","","","","Williams, Sidney Herbert","","person","","Carroll, Lewis, 1832-1898 [person] ; Williams, Sidney Herbert [person]","","","England","London","The Bookman's Journal","1924","","xiii, 142 pages (8°)","","11902.s.14","","","English","",""
"A Book of nonsense","","007559945","Monograph","Language material ; Text","Volume","","","","","","","","Lear, Edward, 1812-1888 [person] ; Carroll, Lewis, 1832-1898 [person]","Everyman's library","","","","Dent","1936","","","","W11/1901","","","English","",""
"A Charade. Dedicated without permission to Miss Marion Terry [In verse. A facsimile of the author's MS.]","","000617556","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","","","","Cupar-Fife","Hugh Sharp","1932","","","","11654.b.82","","","English","Privately printed. One of an edition of fifty copies",""
"A Christmas Carroll. (Facsimile of a poem inscribed on the fly-leaf of a copy of 'The Hunting of the Snark' given by the author to Miss Marion Terry.)","","000617557","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","","","","Cupar-Fife","Hugh Sharp","1930","","","","11654.bb.76","","","English","",""
"A Guide to the mathematical student in reading, reviewing, and working examples","","000958354","Monograph","Language material ; Text","Volume","","","","Dodgson, Charles Lutwidge","1832-1898","person","","Dodgson, Charles Lutwidge, 1832-1898 [person]","","","","Oxford","","1864","","","","8531.bbb.41. (2.)","","","English","No more published",""
"A Guide to the mathematical student in reading, reviewing, and working examples","","016915083","Monograph","Language material ; Text","Online resource","","","","Dodgson, Charles Lutwidge","1832-1898","person","","Dodgson, Charles Lutwidge, 1832-1898 [person]","","","","Oxford","","1864","","","","Digital Store 8531.bbb.41. (2.)","","","English","No more published",""
"A Handbook of the Literature of the Rev. C. L. Dodgson (Lewis Carroll), etc [With portraits and facsimiles and with a supplement,]","","003936423","Monograph","Language material ; Text","Volume","","","","Williams, Sidney Herbert","","person","","Carroll, Lewis, 1832-1898 [person] ; Madan, Falconer, 1851-1935 [person] ; Williams, Sidney Herbert [person]","","","England","London","Oxford University Press","1931","","2 parts (8°)","","011903.i.31","","","English","",""
"A KWIC concordance to Lewis Carroll's Alice's adventures in Wonderland and Through the looking-glass","","007432254","Monograph","Language material ; Text","Volume","GB8746612","","9780824099145","","","","","Preston, Michael J. (Michael James), 1943- [person]","Garland reference library of the humanities","volume 676 [Garland reference library of the humanities]","England ; United States of America","London ; New York","Garland","1986","","xxix, 628 pages, 29 cm","823.8","YH.1987.b.579","Fiction in English--Carroll, Lewis--1832-1898--Indexes ; Carroll, Lewis, 1832-1898--Concordances ; Children's stories, English--Concordances ; Fantasy fiction, English--Concordances","","English","Includes index",""
"A List (Supplementary List) of the Writings of Lewis Carroll-Charles L. Dodgson-in the Library at Dormy House, Pine Valley, New Jersey, collected by M. L. Parrish [With a portrait and illustrations.] Few MS. notes [by M. B. Forman]","","002783419","Monograph","Language material ; Text","Volume","","","","Parrish, Morris Longstreth","","person","","Forman, Maurice Buxton [person] ; Parrish, Morris Longstreth [person] ; Dodgson, Charles Lutwidge, 1832-1898 [person]","","","","Pine Valley","","1928","","2 parts (8°)","","Cup.510.pc.8","","","English","number 62 of an edition of sixty-six copies",""
"A Selection from the Letters of Lewis Carroll (The Rev Charles Lutwidge Dodgson) to his child-friends","","009582180","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Hatch, Evelyn M. [person] ; Carroll, Lewis, 1832-1898 [person]","","","","","Macmillan","1933","","","","W52/1060","","","English","",""
"A Selection from the Letters of Lewis Carroll-The Rev. Charles Lutwidge Dodgson-to his Child Friends. Together with 'Eight or Nine Wise Words about Letter-Writing.' Edited, with an introduction and notes by Evelyn M. Hatch. Facsimile illustrations and 8 collotype plates [including portraits]","","000958346","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Hatch, Evelyn Maud [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","1933","","xvii, 268 pages (8°)","","2410.a.13","","","English","",""
"A Tangled Tale ... With ... illustrations by Arthur B. Frost ... Second thousand","","000617595","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","1885","","152 pages (8°)","","8507.c.26","","","English","",""
"A best-loved library","Alice's adventures in Wonderland ; Black Beauty ; Little princess ; Little women","015965229","Monograph","Language material ; Text","Volume","GBB1C9334","","9781402794865","","","","","Alcott, Louisa May, 1832-1888 [person] ; Sewell, Anna, 1820-1878 [person] ; Burnett, Frances Hodgson, 1849-1924 [person] ; Carroll, Lewis, 1832-1898 [person]","Classic starts","","England ; United States of America","Lewes ; New York","Sterling","2011","","4 volumes","823.80809282","","Children's stories, American ; Children's stories, English","","English","",""
"A bibliography of the writings of Lewis Carroll","","012174180","Monograph","Language material ; Text","Volume","","","","Williams, Sidney Herbert","","person","","Carroll, Lewis, 1832-1898 [person] ; Williams, Sidney Herbert [person]","","","","","The Bookman's journal","1924","","","","Wq84/0788","","","English","number 48 of a limited edition of 700 copies",""
"A bouquet for the gardener : Martin Gardner remembered","","015858191","Monograph","Language material ; Text","Volume","","","9780930326173","","","","","Lewis Carroll Society of North America [organisation] ; Gardner, Martin, 1914-2010 [person] ; Burstein, Mark, 1950- [person]","","","United States of America","","Lewis Carroll Society of North America","2011","","xiv, 231 pages, illustrations, portraits, 24 cm","793.74","YD.2011.a.5088","Carroll, Lewis, 1832-1898 ; Gardner, Martin, 1914-2010","Festschrift","English","",""
"A caça ao Snark","Hunting of the Snark. Portuguese","008701418","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Resende, Manuel [person]","","","Portugal","Porto","Afrontamento","1985","","1 volume, illustrations","","YA.1989.b.549","Poetry in English--1837-1900--Translations","","Portuguese","",""
"A children's treasury","Alice's adventures in Wonderland ; Avventure di Pinocchio ; Black Beauty ; Heidi ; Song of Hiawatha ; Story of Doctor Dolittle ; Wind in the willows ; Wizard of Oz","018270424","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB750854","","9781515416487","","","","","Grahame, Kenneth, 1859-1932 [person] ; Carroll, Lewis, 1832-1898 [person] ; Baum, L. Frank (Lyman Frank), 1856-1919 [person] ; Lofting, Hugh, 1886-1947 [person] ; Spyri, Johanna, 1827-1901 [person] ; Longfellow, Henry Wadsworth, 1807-1882 [person] ; Collodi, Carlo, 1826-1890 [person] ; Sewell, Anna, 1820-1878 [person]","","","United States of America","Radford","Dancing Unicorn","2017","","1 online resource","823.008","","Children's stories","","English","",""
"A concordance to the verse of Lewis Carroll","","005701873","Monographic component part","Language material ; Text","Volume","","","9780824089825","Preston, Michael J. (Michael James)","1943-","person","","Preston, Michael J. (Michael James), 1943- [person]","","","United States of America","New York","Garland","1985","","","828.809","4072.280000","Carroll, Lewis, 1832-1898--Poetic works--Concordances","","English","",""
"A concordance to the verse of Lewis Carroll","","007431816","Monograph","Language material ; Text","Volume","GB8722189","","9780824089825","Preston, Michael J. (Michael James)","1943-","person","","Preston, Michael J. (Michael James), 1943- [person]","Garland reference library of the humanities","volume 485 [Garland reference library of the humanities]","England ; United States of America","London ; New York","Garland","1985","","xx, 344 pages, 29 cm","821.8","YH.1987.b.288","Carroll, Lewis, 1832-1898--Poetic works--Concordances ; Poetry in English--Carroll, Lewis--Indexes","","English","",""
"A handbook of the literature of the Rev. C. L. Dodgson","The Lewis Carroll handbook : being a new version of 'A handbook of the literature of the Rev. C. L. Dodgson'","011593205","Monograph","Language material ; Text","Volume","GB7010386","","9780712904278","Williams, Sidney Herbert","","person","","Madan, Falconer, 1851-1935 [person] ; Williams, Sidney Herbert [person] ; Green, Roger Lancelyn [person]","","","England","London","Dawsons","1970","Revised reprinted, now revised, augmented, and brought up to 1970 by Roger Lancelyn Green","xvi, 307 pages, 15 plates, illustrations, facsimiles, portraits, 23 cm","016.828809","X.989/5616","Carroll, Lewis, 1832-1898--Bibliography","Bibliography","English","revised reprinted of revised edition: London: Oxford U.P, 1962",""
"A is for Alice : an alphabet book","Works","018132620","Monograph","Language material ; Still image ; Text","Volume","GBB6J8812","","9781509820542","","","","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","","","England","London","Macmillan","2017","","1 volume (unpaged), chiefly colour illustrations, 19 x 19 cm","421.1","CLE.2017.a.189","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature ; Board books","Children's literature ; Pictorial work","English","Board book",""
"A is for Alice : an alphabet book","Works","018217730","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB720801","","9781509859290","","","","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","The Macmillan Alice","","England","London","Macmillan","2017","","1 online resource, chiefly colour illustrations","428.13","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature","Children's literature ; Pictorial work","English","Additional physical form: Print version. 9781509820542 ; Based on the story by Lewis Carroll",""
"A mathematical approach to proportional representation : Duncan Black on Lewis Carroll","Principles of parliamentary representation","011994863","Monograph","Language material ; Text","Volume","GB9636176","","9780792396208","Black, Duncan","","person","","McMillan, Alistair [person] ; Dodgson, Charles Lutwidge, 1832-1898 [person] ; Monroe, Burt L. [person] ; Black, Duncan [person] ; McLean, Iain [person]","","","England","Boston ; London","Kluwer","1996","","xxxviii, 189 pages, illustrations, 24 cm","328.3347","97/26870 ; YC.1996.b.3934","Proportional representation ; Dodgson, Charles Lutwidge, 1832-1898--Political and social views ; Social choice","","English","",""
"A miscellany of works on Alice, theater, religion, science, and more","Works. Selections","020268781","Monograph","Language material ; Text","Volume","","","9780930326067","Dodgson, Charles Lutwidge","1832-1898","person","author","Dodgson, Charles Lutwidge, 1832-1898, author [person] ; Lovett, Charles C., 1962-, editor [person]","The pamphlets of Lewis Carroll","volume 6 [The pamphlets of Lewis Carroll]","United States of America","Charlottesville ; New York","Lewis Carroll Society of North America ; University Press ; Virginia","2020","","xix, 593 pages, 25 cm","828.809","","","","English","",""
"A new Alice in the old Wonderland","Alice's adventures in Wonderland","003021241","Monograph","Language material ; Text","Volume","","","","Richards, Anna M. (Anna Matlack)","1835-1900","person","","Richards, Anna M. (Anna Matlack), 1835-1900 [person] ; Brewster, Anna Richards, 1870-1952 [person] ; Carroll, Lewis, 1832-1898 [person]","","","United States of America","Philadelphia","J. B. Lippincott","1895","","309 pages, illustrations (12°)","","012807.k.32","","","English","A continuation of 'Alice in Wonderland' and 'Through the Looking Glass' by Lewis Carroll. The preface signed: A. M. R, Sr, i.e. Anna M. Richards senior?",""
"A new Alice in the old wonderland","Alice's adventures in Wonderland","015422550","Monograph","Language material ; Text","Volume","GBA9B2233","","9781904808350","Richards, Anna M. (Anna Matlack)","1835-1900","person","","Richards, Anna M. (Anna Matlack), 1835-1900 [person] ; Brewster, Anna Richards, 1870-1952 [person] ; Everson, Michael, 1963- [person] ; Carroll, Lewis, 1832-1898 [person]","","","Ireland","Cathair na Mart, Colorado Maigh Eo","Evertype","2009","","vi, 176 pages, illustrations, 22 cm","823.92","H.2010/.9437","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","Originally published: 1895",""
"A note on Humpty Dumpty","Afterthought ; Alice in wonderland : the child as swain ; Alice's adventures in wonderland ; Alice's identity ; Escape into the garden ; From 'The character of Dodgson as revealed in the writings of Carroll' ; Introducing Alice ; Lewis Carroll's Alice's adventures in wonderland ; Love and death in Carroll's Alices ; The balance of brillig ; The poetry of wonderland ; The unreal Alice ; Through the looking-glass ; Toward a definition of Alice's genre : the folktale and fairy-tale connections","013675049","Monograph","Language material ; Text","Volume","GBA715072","","9780791085868","","","","","Bloom, Harold, editor [person]","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2006","","viii, 247 pages, 24 cm","823.8","YC.2007.a.2730","Fantasy fiction, English--History and criticism ; Carroll, Lewis, 1832-1898 ; Children's stories, English--History and criticism ; Alice, (Fictitious character from Carroll)","","English","",""
"A play in one scene from Alice's Adventures in Wonderland by Lewis Carroll","Alice's adventures in Wonderland","002804558","Monograph","Language material ; Text","Volume","","","","Pearn, V. A. (Violet A.)","","person","author","Carroll, Lewis, 1832-1898 [person] ; Pearn, V. A. (Violet A.), author [person]","","","England","London","Macmillan","1933","","112 pages (8°)","","011781.h.133","","Drama","English","",""
"A play in one scene from Through the Looking Glass by Lewis Carroll","Through the looking-glass","002804559","Monograph","Language material ; Text","Volume","","","","Pearn, V. A. (Violet A.)","","person","author","Carroll, Lewis, 1832-1898 [person] ; Pearn, V. A. (Violet A.), author [person]","","","England","London","Macmillan","1933","","92 pages (8°)","","011781.h.134","","Drama","English","",""
"A summer garland : choral suite for mixed choir unaccompanied","","015633367","Monograph","Notated music","Volume","","","","Bullard, Alan","1947-","person","composer","Oldys, William, 1696-1761 [person] ; Bullard, Alan, 1947-, composer [person] ; Carroll, Lewis, 1832-1898 [person] ; Howell, Thomas, active 1568-1581 [person] ; Thurlow, Edward Hovell-Thurlow, Baron, 1781-1829 [person] ; Dekker, Thomas, approximately 1572-1632 [person]","Colne Edition choral suites series","","England","Colchester, Essex ; Colne","","2002","","1 score (19 pages), 1 portrait, 30 cm","782.542","G.1505.s. (6.)","Howell, Thomas, active 1568-1581--Musical settings ; Dekker, Thomas, approximately 1572-1632--Musical settings ; Choruses, Secular (Mixed voices, 4 parts), Unaccompanied ; Suites ; Carroll, Lewis, 1832-1898--Musical settings ; Oldys, William, 1696-1761--Musical settings ; Summer--Songs and music ; Thurlow, Edward Hovell-Thurlow, Baron, 1781-1829--Musical settings","Song","English","'Colchester, April 2002'--At end ; Includes programme notes ; Set of five choral pieces with texts by various authors",""
"A syllabus of plane algebraical geometry, systematically arranged, with formal definitions, postulates, and axioms","","000958360","Monograph","Language material ; Text","Volume","","","","Dodgson, Charles Lutwidge","1832-1898","person","","Dodgson, Charles Lutwidge, 1832-1898 [person]","","","","Oxford","","1860","","(12°)","","8529.d.27","","","English","No more seems to have been published",""
"A syllabus of plane algebraical geometry, systematically arranged, with formal definitions, postulates, and axioms","","016978977","Monograph","Language material ; Text","Online resource","","","","Dodgson, Charles Lutwidge","1832-1898","person","","Dodgson, Charles Lutwidge, 1832-1898 [person]","","","","Oxford","","1860","","(12°)","","Digital Store 8529.d.27","","","English","No more seems to have been published",""
"A tangled tale","","012245184","Monograph","Language material ; Text","Volume","GB6928061","","9780901720016","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Frost, Arthur Burdett [person]","","","England","London","Collings","1969","","9, 67 pages, illustrations, music, 21 cm","793.74","W42/1439","Mathematical recreations","","English","",""
"A tangled tale","","014522458","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Frost, A. B. (Arthur Burdett), 1851-1928 [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan ; Richard Clay","1885","Third thousand","10, 152 pages, 1 leaf of plates, illustrations, 19 cm (8°)","","RB.23.a.31512","Mathematical recreations ; English fiction--19th century","","English","Preface: 'This tale originally appeared as a serial in The Monthly Packet, beginning in April, 1880 ...' ; Printer's name from colophon ; With an advertisement for works by Lewis Carroll, at end ; With half-title",""
"A tangled tale; original illustrations by Arthur B. Frost","","000617596","Monograph","Language material ; Text","Volume","","","9780901720016","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","","","England","London","Rex Collings","1969","","67 pages, 21 cm","","X.909/18891","","","English","",""
"A town like Alice's","","009485893","Monograph","Language material ; Text","Volume","GB9810731","","9780953111503","Bute, Michael","","person","","Bute, Michael [person]","","","England","Sunderland","Heritage Publications","1997","","128 pages, illustrations, coats of arms, facsimiles, genealogical tables, maps, portraits, 30 cm","942.871","YK.1998.b.2530","Carroll, Lewis, 1832-1898 ; Sunderland (Tyne and Wear, England)--In literature","","English","",""
